#
# The Tor Project
#
# URL: https://metrics.torproject.org/versions.csv?start=2019-02-18&end=2019-05-19
#
date,version,relays
2019-03-08,0.2.5,148
2019-03-08,0.2.6,20
2019-03-08,0.2.7,84
2019-03-08,0.2.8,21
2019-03-08,0.2.9,1148
2019-03-08,0.3.0,60
2019-03-08,0.3.1,78
2019-03-08,0.3.2,263
2019-03-08,0.3.3,437
2019-03-08,0.3.4,1385
2019-03-08,0.3.5,2636
2019-03-08,0.4.0,178
2019-03-08,0.4.1,15
2019-03-08,Other,1
2019-03-09,0.2.4,145
2019-03-09,0.2.5,144
2019-03-09,0.2.6,20
2019-03-09,0.2.7,83
2019-03-09,0.2.8,21
2019-03-09,0.2.9,1139
2019-03-09,0.3.0,61
2019-03-09,0.3.1,77
2019-03-09,0.3.2,263
2019-03-09,0.3.3,430
2019-03-09,0.3.4,1376
2019-03-09,0.3.5,2649
2019-03-09,0.4.0,178
2019-03-09,0.4.1,16
2019-03-09,Other,1
2019-03-10,0.2.4,141
2019-03-10,0.2.5,145
2019-03-10,0.2.6,19
2019-03-10,0.2.7,82
2019-03-10,0.2.8,22
2019-03-10,0.2.9,1135
2019-03-10,0.3.0,61
2019-03-10,0.3.1,77
2019-03-10,0.3.2,257
2019-03-10,0.3.3,426
2019-03-10,0.3.4,1369
2019-03-10,0.3.5,2666
2019-03-10,0.4.0,182
2019-03-10,0.4.1,15
2019-03-10,Other,1
2019-03-11,0.2.4,135
2019-03-11,0.2.5,145
2019-03-11,0.2.6,19
2019-03-11,0.2.7,82
2019-03-11,0.2.8,22
2019-03-11,0.2.9,1134
2019-03-11,0.3.0,61
2019-03-11,0.3.1,76
2019-03-11,0.3.2,259
2019-03-11,0.3.3,416
2019-03-11,0.3.4,1342
2019-03-11,0.3.5,2691
2019-03-11,0.4.0,186
2019-03-11,0.4.1,15
2019-03-11,Other,1
2019-03-12,0.2.4,139
2019-03-12,0.2.5,144
2019-03-12,0.2.6,19
2019-03-12,0.2.7,80
2019-03-12,0.2.8,23
2019-03-12,0.2.9,1131
2019-03-12,0.3.0,61
2019-03-12,0.3.1,76
2019-03-12,0.3.2,256
2019-03-12,0.3.3,409
2019-03-12,0.3.4,1310
2019-03-12,0.3.5,2723
2019-03-12,0.4.0,186
2019-03-12,0.4.1,16
2019-03-12,Other,1
2019-03-13,0.2.4,134
2019-03-13,0.2.5,145
2019-03-13,0.2.6,19
2019-03-13,0.2.7,80
2019-03-13,0.2.8,22
2019-03-13,0.2.9,1126
2019-03-13,0.3.0,62
2019-03-13,0.3.1,77
2019-03-13,0.3.2,256
2019-03-13,0.3.3,399
2019-03-13,0.3.4,1299
2019-03-13,0.3.5,2751
2019-03-13,0.4.0,185
2019-03-13,0.4.1,12
2019-03-13,Other,1
2019-03-14,0.2.4,135
2019-03-14,0.2.5,148
2019-03-14,0.2.6,18
2019-03-14,0.2.7,78
2019-03-14,0.2.8,22
2019-03-14,0.2.9,1121
2019-03-14,0.3.0,64
2019-03-14,0.3.1,75
2019-03-14,0.3.2,255
2019-03-14,0.3.3,387
2019-03-14,0.3.4,1279
2019-03-14,0.3.5,2795
2019-03-14,0.4.0,183
2019-03-14,0.4.1,16
2019-03-14,Other,1
2019-03-15,0.2.4,134
2019-03-15,0.2.5,149
2019-03-15,0.2.6,18
2019-03-15,0.2.7,79
2019-03-15,0.2.8,21
2019-03-15,0.2.9,1119
2019-03-15,0.3.0,64
2019-03-15,0.3.1,76
2019-03-15,0.3.2,252
2019-03-15,0.3.3,385
2019-03-15,0.3.4,1268
2019-03-15,0.3.5,2817
2019-03-15,0.4.0,182
2019-03-15,0.4.1,16
2019-03-15,Other,1
2019-03-16,0.2.4,135
2019-03-16,0.2.5,150
2019-03-16,0.2.6,19
2019-03-16,0.2.7,80
2019-03-16,0.2.8,21
2019-03-16,0.2.9,1105
2019-03-16,0.3.0,63
2019-03-16,0.3.1,76
2019-03-16,0.3.2,251
2019-03-16,0.3.3,380
2019-03-16,0.3.4,1254
2019-03-16,0.3.5,2847
2019-03-16,0.4.0,181
2019-03-16,0.4.1,17
2019-03-16,Other,1
2019-03-17,0.2.4,136
2019-03-17,0.2.5,149
2019-03-17,0.2.6,18
2019-03-17,0.2.7,81
2019-03-17,0.2.8,22
2019-03-17,0.2.9,1106
2019-03-17,0.3.0,62
2019-03-17,0.3.1,77
2019-03-17,0.3.2,252
2019-03-17,0.3.3,360
2019-03-17,0.3.4,1240
2019-03-17,0.3.5,2891
2019-03-17,0.4.0,182
2019-03-17,0.4.1,17
2019-03-17,Other,1
2019-03-18,0.2.4,136
2019-03-18,0.2.5,148
2019-03-18,0.2.6,18
2019-03-18,0.2.7,81
2019-03-18,0.2.8,21
2019-03-18,0.2.9,1100
2019-03-18,0.3.0,62
2019-03-18,0.3.1,78
2019-03-18,0.3.2,252
2019-03-18,0.3.3,334
2019-03-18,0.3.4,1214
2019-03-18,0.3.5,2966
2019-03-18,0.4.0,184
2019-03-18,0.4.1,17
2019-03-18,Other,1
2019-03-19,0.2.4,136
2019-03-19,0.2.5,150
2019-03-19,0.2.6,18
2019-03-19,0.2.7,81
2019-03-19,0.2.8,20
2019-03-19,0.2.9,1100
2019-03-19,0.3.0,61
2019-03-19,0.3.1,78
2019-03-19,0.3.2,251
2019-03-19,0.3.3,328
2019-03-19,0.3.4,1211
2019-03-19,0.3.5,2985
2019-03-19,0.4.0,182
2019-03-19,0.4.1,17
2019-03-19,Other,1
2019-03-20,0.2.4,132
2019-03-20,0.2.5,150
2019-03-20,0.2.6,18
2019-03-20,0.2.7,81
2019-03-20,0.2.8,22
2019-03-20,0.2.9,1091
2019-03-20,0.3.0,61
2019-03-20,0.3.1,77
2019-03-20,0.3.2,250
2019-03-20,0.3.3,322
2019-03-20,0.3.4,1186
2019-03-20,0.3.5,2997
2019-03-20,0.4.0,180
2019-03-20,0.4.1,18
2019-03-20,Other,1
2019-03-21,0.2.4,132
2019-03-21,0.2.5,151
2019-03-21,0.2.6,18
2019-03-21,0.2.7,80
2019-03-21,0.2.8,22
2019-03-21,0.2.9,1087
2019-03-21,0.3.0,60
2019-03-21,0.3.1,76
2019-03-21,0.3.2,246
2019-03-21,0.3.3,316
2019-03-21,0.3.4,1177
2019-03-21,0.3.5,3000
2019-03-21,0.4.0,180
2019-03-21,0.4.1,18
2019-03-21,Other,1
2019-03-22,0.2.4,131
2019-03-22,0.2.5,149
2019-03-22,0.2.6,17
2019-03-22,0.2.7,80
2019-03-22,0.2.8,22
2019-03-22,0.2.9,1085
2019-03-22,0.3.0,59
2019-03-22,0.3.1,76
2019-03-22,0.3.2,240
2019-03-22,0.3.3,310
2019-03-22,0.3.4,1168
2019-03-22,0.3.5,2992
2019-03-22,0.4.0,182
2019-03-22,0.4.1,18
2019-03-22,Other,1
2019-03-23,0.2.4,130
2019-03-23,0.2.5,148
2019-03-23,0.2.6,16
2019-03-23,0.2.7,79
2019-03-23,0.2.8,21
2019-03-23,0.2.9,1085
2019-03-23,0.3.0,60
2019-03-23,0.3.1,76
2019-03-23,0.3.2,241
2019-03-23,0.3.3,309
2019-03-23,0.3.4,1170
2019-03-23,0.3.5,2990
2019-03-23,0.4.0,182
2019-03-23,0.4.1,18
2019-03-23,Other,1
2019-03-24,0.2.4,129
2019-03-24,0.2.5,144
2019-03-24,0.2.6,16
2019-03-24,0.2.7,78
2019-03-24,0.2.8,20
2019-03-24,0.2.9,1085
2019-03-24,0.3.0,61
2019-03-24,0.3.1,75
2019-03-24,0.3.2,242
2019-03-24,0.3.3,308
2019-03-24,0.3.4,1168
2019-03-24,0.3.5,2996
2019-03-24,0.4.0,182
2019-03-24,0.4.1,18
2019-03-24,Other,1
2019-03-25,0.2.4,131
2019-03-25,0.2.5,144
2019-03-25,0.2.6,17
2019-03-25,0.2.7,77
2019-03-25,0.2.8,21
