#
# The Tor Project
#
# URL: https://metrics.torproject.org/relayflags.csv?start=2019-02-18&end=2019-05-19&flag=Running&flag=Exit&flag=Fast&flag=Guard&flag=Stable
#
date,flag,relays
2019-05-06,Stable,5596
2019-05-07,Exit,931
2019-05-07,Fast,5787
2019-05-07,Guard,2951
2019-05-07,Running,6638
2019-05-07,Stable,5597
2019-05-08,Exit,929
2019-05-08,Fast,5805
2019-05-08,Guard,2956
2019-05-08,Running,6649
2019-05-08,Stable,5600
2019-05-09,Exit,931
2019-05-09,Fast,5807
2019-05-09,Guard,2958
2019-05-09,Running,6652
2019-05-09,Stable,5598
2019-05-10,Exit,929
2019-05-10,Fast,5805
2019-05-10,Guard,2969
2019-05-10,Running,6638
2019-05-10,Stable,5588
2019-05-11,Exit,922
2019-05-11,Fast,5749
2019-05-11,Guard,2933
2019-05-11,Running,6642
2019-05-11,Stable,5569
2019-05-12,Exit,914
2019-05-12,Fast,5761
2019-05-12,Guard,2933
2019-05-12,Running,6639
2019-05-12,Stable,5586
2019-05-13,Exit,912
2019-05-13,Fast,5819
2019-05-13,Guard,2957
2019-05-13,Running,6627
2019-05-13,Stable,5591
2019-05-14,Exit,904
2019-05-14,Fast,5793
2019-05-14,Guard,2959
2019-05-14,Running,6615
2019-05-14,Stable,5569
2019-05-15,Exit,933
2019-05-15,Fast,5784
2019-05-15,Guard,2980
2019-05-15,Running,6629
2019-05-15,Stable,5557
2019-05-16,Exit,929
2019-05-16,Fast,5776
2019-05-16,Guard,2961
2019-05-16,Running,6598
2019-05-16,Stable,5521
2019-05-17,Exit,933
2019-05-17,Fast,5747
2019-05-17,Guard,2949
2019-05-17,Running,6571
2019-05-17,Stable,5467
2019-05-18,Exit,923
2019-05-18,Fast,5752
2019-05-18,Guard,2958
2019-05-18,Running,6581
2019-05-18,Stable,5477
